path	manifest_slice	primary_domain	coverage_status
.dockerignore	A1-M3	B37	wave-b-complete
.env.example	A1-M3	B37	wave-b-complete
.github/actions/setup-e2e/action.yml	A1-M3	B37	wave-b-complete
.github/workflows/build.yml	A1-M3	B37	wave-b-complete
.github/workflows/ci.yml	A1-M3	B37	wave-b-complete
.github/workflows/e2e-scheduled.yml	A1-M3	B37	wave-b-complete
.github/workflows/e2e-sync-pr.yml	A1-M3	B37	wave-b-complete
.github/workflows/supersync-docker.yml	A1-M3	B37	wave-b-complete
.github/workflows/supersync-server-tests.yml	A1-M3	B37	wave-b-complete
ARCHITECTURE-DECISIONS.md	A1-M3	B35	wave-b-complete
Dockerfile	A1-M3	B37	wave-b-complete
android/app/src/main/AndroidManifest.xml	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/plugins/webdavhttp/WebDavHttpPlugin.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/CapacitorMainActivity.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/receiver/BootReceiver.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/receiver/ReminderActionReceiver.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/receiver/ReminderAlarmReceiver.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/service/BackgroundSyncCredentialStore.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/service/BackgroundSyncProvider.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/service/ReminderAlarmStore.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/service/ReminderNotificationHelper.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/service/SuperSyncBackgroundProvider.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/service/SyncReminderScheduler.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/service/SyncReminderWorker.kt	A1-M2	B35	wave-b-complete
android/app/src/main/java/com/superproductivity/superproductivity/webview/JavaScriptInterface.kt	A1-M2	B35	wave-b-complete
angular.json	A1-M3	B37	wave-b-complete
docker-compose.e2e.yaml	A1-M3	B37	wave-b-complete
docker-compose.supersync.yaml	A1-M3	B37	wave-b-complete
docker-compose.yaml	A1-M3	B37	wave-b-complete
docs/long-term-plans/android-background-sync-improvements.md	A1-M3	B35	wave-b-complete
docs/long-term-plans/multi-client-file-sync-reliability.md	A1-M3	B24	wave-b-complete
docs/long-term-plans/secure-storage.md	A1-M3	B22	wave-b-complete
docs/long-term-plans/server-side-entity-versioning.md	A1-M3	B32	wave-b-complete
docs/long-term-plans/supersync-encryption-at-rest.md	A1-M3	B38	wave-b-complete
docs/long-term-plans/sync-core-simplification-roadmap.md	A1-M3	B29	wave-b-complete
docs/long-term-plans/sync-provider-plugins.md	A1-M3	B23	wave-b-complete
docs/plans/2026-05-21-clean-slate-data-loss-prevention.md	A1-M3	B10	wave-b-complete
docs/plans/2026-06-05-project-completion.md	A1-M3	B35	wave-b-complete
docs/plans/2026-07-03-sync-engine-extraction-plan.md	A1-M3	B29	wave-b-complete
docs/plans/2026-07-07-complete-architecture-review.md	A1-M3	B37	wave-b-complete
docs/plans/2026-07-16-sync-simplification-audit.md	A1-M3	B37	wave-b-complete
docs/sync-and-op-log/README.md	A1-M3	B37	wave-b-complete
docs/sync-and-op-log/conflict-journal-and-review.md	A1-M3	B19	wave-b-complete
docs/sync-and-op-log/contributor-sync-model.md	A1-M3	B35	wave-b-complete
docs/sync-and-op-log/diagrams/01-local-persistence.md	A1-M3	B08	wave-b-complete
docs/sync-and-op-log/diagrams/02-server-sync.md	A1-M3	B38	wave-b-complete
docs/sync-and-op-log/diagrams/03-conflict-resolution.md	A1-M3	B18	wave-b-complete
docs/sync-and-op-log/diagrams/04-file-based-sync.md	A1-M3	B24	wave-b-complete
